province,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017
Ha Noi,18108,19987,20757,21316,18441,19100,20724
Vinh Phuc,946,974,1098,1208,1204,1241,1260
Bac Ninh,1588,1719,1809,1856,1949,1974,1436
Quang Ninh,3660,3687,5023,5230,5494,5313,5430
Hai Duong,3846,3941,3129,3248,3368,3071,3131
Hai Phong,6930,7027,7098,7282,7478,7887,7331
Hung Yen,1196,1248,1013,1082,756,784,813
Thai Binh,3666,3619,3716,3817,3155,3229,3292
Ha Nam,1148,1188,887,933,1129,1024,1007
Nam Dinh,3259,3577,3794,3936,3979,4082,4181
Ninh Binh,2665,2323,2554,2687,2426,2484,2507
Ha Giang,1218,1243,1163,1194,1132,1146,1160
Cao Bang,2015,2076,2106,2121,1294,1337,1376
Bac Kan,1214,1335,1381,1396,868,892,866
Tuyen Quang,789,727,794,871,1277,1321,1312
Lao Cai,1427,1713,1927,2103,1724,1650,1520
Yen Bai,3280,3959,3278,3593,3864,3881,4044
Thai Nguyen,7093,6957,7309,7502,6045,6153,6265
Lang Son,1263,1619,1639,1660,881,861,873
Bac Giang,1721,2080,2147,2234,1752,1728,1837
Phu Tho,2560,2501,2783,3081,2635,2736,2791
Dien Bien,4775,5204,4493,4584,4417,3407,3561
Lai Chau,1032,1776,1837,2128,1925,2030,1957
Son La,8013,6362,6838,7326,7793,7909,8164
Hoa Binh,1209,1271,1312,1341,955,936,946
Thanh Hoa,4943,5050,5297,5493,5192,5548,5942
Nghe An,5307,5545,6182,6521,4840,5847,5429
Ha Tinh,674,749,792,847,634,644,647
Quang Binh,234,272,289,306,180,189,206
Quang Tri,218,247,175,183,177,185,204
Thua Thien-Hue,728,663,696,726,301,331,362
Da Nang,619,675,709,742,688,734,778
Quang  Nam,675,625,661,693,472,489,525
Quang  Ngai,650,596,644,679,424,475,510
Binh Dinh,419,449,499,528,282,300,330
Phu Yen,236,169,186,200,200,227,245
Khanh  Hoa,1678,1800,2253,2294,1676,1761,1853
Ninh  Thuan,305,305,318,338,249,264,276
Binh Thuan,1025,1050,1126,1198,1010,759,819
Kon Tum,178,226,222,249,263,277,288
Gia Lai,386,678,778,820,682,753,755
Dak Lak,1380,1526,1610,1706,1683,1715,1755
Dak Nong,319,439,499,534,566,619,405
Lam Dong,907,1143,1289,1404,604,724,804
Binh Phuoc,1423,1591,1665,1740,1590,1691,1816
Tay Ninh,1985,2186,2418,2606,2658,2793,3109
Binh Duong,2455,2718,2779,2847,3017,3097,3598
Dong Nai,4926,5400,5799,6156,5651,5935,6067
Ba Ria - Vung Tau,4157,4433,4618,4767,2505,2223,2360
Ho Chi Minh city,46507,50931,53042,54705,49561,50197,47303
Long An,1896,2229,1999,2170,1986,2282,2799
Tien Giang,1375,1428,1299,1428,1638,1813,2037
Ben Tre,1461,1516,1584,1703,1377,1483,1632
Tra Vinh,893,1032,889,975,1035,1076,1155
Vinh Long,1713,2033,2150,2255,1906,2002,2085
Dong Thap,3776,4118,4283,4560,3832,4001,4269
An Giang,4450,4867,5046,5240,5746,5840,6121
Kien  Giang,3714,3975,3214,3435,3491,3652,3750
Can Tho,3645,4483,4828,5082,3471,3457,3463
Hau Giang,957,1053,1092,1119,791,858,925
Soc Trang,2483,1827,1963,2128,2123,2230,2354
Bac Lieu,2090,2128,2281,2396,1669,1774,1855
Ca Mau,1664,1919,2226,2462,2326,2428,2554
