Year,Age,Male,Female
1995,00-04,4647969,4341292
1995,05-09,4730823,4450543
1995,10-14,4523311,4327654
1995,15-19,3891172,3733423
1995,20-24,3494803,3421751
1995,25-29,3098499,3114648
1995,30-34,2897062,3009066
1995,35-39,2324527,2562890
1995,40-44,1631641,1843136
1995,45-49,1075626,1271800
1995,50-54,812358,1019991
1995,55-59,825967,1032161
1995,60-64,780567,976871
1995,65-69,672500,855503
1995,70-74,460965,671660
1995,75-79,265495,433376
1995,80-84,126848,257919
1995,85-89,41741,109445
1995,90-94,9434,32128
1995,95-99,1295,4984
2000,00-04,4012726,3710205
2000,05-09,4590368,4280856
2000,10-14,4700771,4420740
2000,15-19,4484170,4296020
2000,20-24,3834322,3692754
2000,25-29,3441243,3383879
2000,30-34,3055044,3082287
2000,35-39,2851016,2976813
2000,40-44,2276271,2529003
2000,45-49,1581543,1809756
2000,50-54,1030022,1240276
2000,55-59,767643,980704
2000,60-64,754544,976003
2000,65-69,678076,901600
2000,70-74,541470,749502
2000,75-79,319646,535013
2000,80-84,148915,297275
2000,85-89,50811,136528
2000,90-94,10825,40103
2000,95-99,1404,7111
2005,00-04,4011387,3659673
2005,05-09,3972078,3668924
2005,10-14,4566298,4258035
2005,15-19,4663386,4391727
2005,20-24,4426780,4255965
2005,25-29,3780889,3654469
2005,30-34,3396300,3349893
2005,35-39,3009137,3050369
2005,40-44,2796132,2940106
2005,45-49,2211931,2487296
2005,50-54,1519619,1768214
2005,55-59,977700,1197021
2005,60-64,704381,930566
2005,65-69,662001,905604
2005,70-74,550683,795637
2005,75-79,385765,607034
2005,80-84,184510,375200
2005,85-89,63985,165686
2005,90-94,14198,53512
2005,95-99,1809,9894
2017,00-04,3899627,3508648
2017,05-09,3995521,3586027
2017,10-14,4014178,3640649
2017,15-19,3850075,3543543
2017,20-24,4247944,3965478
2017,25-29,4631249,4372737
2017,30-34,4497729,4313621
2017,35-39,3774654,3669319
2017,40-44,3453904,3368281
2017,45-49,2982862,3086723
2017,50-54,2746697,2908934
2017,55-59,2246573,2554590
2017,60-64,1552355,1865247
2017,65-69,939361,1250759
2017,70-74,535688,766160
2017,75-79,408333,681654
2017,80-84,243062,485626
2017,85-89,120014,282792
2017,90-94,30261,105627
2017,95-99,4845,25371
